label,timestamp,duration,pkg,dram,socket
optimized,1572279113.701742,1885611.213,48989621.0,3018242.0,0
prefetch,1572279115.5876195,11152251.109,279161028.0,17363542.0,0
naive,1572279126.7400968,32318958.856,793531111.0,45213263.0,0
optimized,1572279159.059346,1888438.284,49071163.0,3021416.0,0
prefetch,1572279160.9480681,11250191.911,277889304.0,17524857.0,0
naive,1572279172.1985,32527995.286,795018716.0,45493597.0,0
optimized,1572279204.7267432,1890345.668,48706358.0,3025566.0,0
prefetch,1572279206.6173666,11166683.052,278120503.0,17385088.0,0
naive,1572279217.7843218,32423779.211,794476787.0,45365240.0,0
optimized,1572279250.2083905,1889938.35,48720335.0,3029350.0,0
prefetch,1572279252.0986054,11276601.021,279678483.0,17525346.0,0
naive,1572279263.3754804,32426000.996,795508461.0,45361395.0,0
optimized,1572279295.801714,1887858.159,48742063.0,3024162.0,0
prefetch,1572279297.689844,11243079.861,277509544.0,17501542.0,0
naive,1572279308.9331853,32306761.38,794557781.0,45212897.0,0
optimized,1572279341.2402291,1882252.415,48858273.0,3012932.0,0
prefetch,1572279343.1227505,11169975.704,276014186.0,17373124.0,0
naive,1572279354.2930014,32258748.003,791050160.0,45135932.0,0
optimized,1572279386.5520263,1882716.042,48579404.0,3010185.0,0
prefetch,1572279388.4350085,11186641.6,277545676.0,17407609.0,0
naive,1572279399.6219294,32327471.613,793454878.0,45239936.0,0
optimized,1572279431.949691,1890198.048,48898251.0,3028251.0,0
prefetch,1572279433.8401544,11233591.137,280229202.0,17496049.0,0
naive,1572279445.0740476,32440199.085,800026700.0,45366278.0,0
optimized,1572279477.514483,1879105.448,48689267.0,3010552.0,0
prefetch,1572279479.393859,11172346.129,279036578.0,17406815.0,0
naive,1572279490.5664814,32264754.229,795085245.0,45144171.0,0
optimized,1572279522.8315125,1880000.447,48526853.0,3011894.0,0
prefetch,1572279524.7117817,11172132.813,277983481.0,17401384.0,0
naive,1572279535.8841891,32219043.415,793311873.0,45073737.0,0
optimized,1572279568.1034741,1881193.407,48594052.0,3014458.0,0
prefetch,1572279569.984937,11183312.731,277875693.0,17411271.0,0
naive,1572279581.168517,32218582.546,793565717.0,45075263.0,0
optimized,1572279613.387378,1882554.447,48714719.0,3015984.0,0
prefetch,1572279615.2702506,11168539.708,278414571.0,17389970.0,0
naive,1572279626.439064,32280255.44,799220732.0,45145697.0,0
optimized,1572279658.719561,1884000.928,48805722.0,3017754.0,0
prefetch,1572279660.6038332,11125122.333,278809955.0,17324723.0,0
naive,1572279671.729231,32214898.206,798529328.0,45068061.0,0
optimized,1572279703.9444005,1877087.902,48837583.0,3010918.0,0
prefetch,1572279705.8217633,11152939.123,278294880.0,17385148.0,0
naive,1572279716.974975,32258898.182,794609965.0,45121406.0,0
optimized,1572279749.2341807,1883862.715,48530576.0,3013786.0,0
prefetch,1572279751.118315,11175534.235,277737754.0,17416887.0,0
naive,1572279762.2941592,32297305.639,795712501.0,45187384.0,0
optimized,1572279794.5917392,1878815.387,49138607.0,3007195.0,0
prefetch,1572279796.4708228,11152438.788,279696062.0,17392228.0,0
naive,1572279807.6235318,32223539.436,793553327.0,44990852.0,0
optimized,1572279839.8473442,1888608.602,48738218.0,3035270.0,0
prefetch,1572279841.7362242,11357899.098,282195811.0,17922439.0,0
naive,1572279853.0943975,32234109.446,795244913.0,44846809.0,0
optimized,1572279885.328786,1860193.053,48248717.0,2949821.0,0
prefetch,1572279887.189251,11198921.826,278707843.0,17478532.0,0
naive,1572279898.388444,32245835.0,801006556.0,45016303.0,0
optimized,1572279930.634556,1891474.756,49021481.0,3035576.0,0
prefetch,1572279932.5262687,11326497.172,283888433.0,17888565.0,0
naive,1572279943.853039,32311392.63,794379009.0,44975959.0,0
optimized,1572279976.164712,1877868.455,48314696.0,2977592.0,0
prefetch,1572279978.0428495,11234278.642,277768759.0,17543840.0,0
naive,1572279989.2774014,32359274.652,790451712.0,45183661.0,0
optimized,1572280021.6369538,1898270.872,48872738.0,3048637.0,0
prefetch,1572280023.5354934,11390952.716,281035169.0,17981766.0,0
naive,1572280034.926719,32363265.607,790983632.0,45037787.0,0
optimized,1572280067.2902749,1859752.996,48204589.0,2947380.0,0
prefetch,1572280069.1502957,11327189.59,280465895.0,17828385.0,0
naive,1572280080.4777565,32372524.216,797876986.0,45122626.0,0
optimized,1572280112.8505714,1859441.032,48547056.0,2950676.0,0
prefetch,1572280114.7102807,11334980.184,281175245.0,17698807.0,0
naive,1572280126.0455363,32433493.347,796711461.0,45300604.0,0
